,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
11:00-12:00,Veris,0.814,0.706,0.688,0.0,0.69,0.548,0.69,0.628,0.778,1.016,0.686,0.69,0.69,4.603,5.659,2.408,1.573,1.13,0.879,0.734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11:00-12:00,Cekis,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12:00-13:00,Veris,0.838,0.704,0.235,0.0,0.689,0.632,0.689,0.303,0.32,0.87,0.3,0.69,0.69,4.269,5.364,2.396,1.576,1.13,0.856,0.733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12:00-13:00,Cekis,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.003,0.004,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13:00-14:00,Veris,0.838,0.705,0.688,0.0,0.157,0.0,0.007,0.001,0.02,0.813,0.685,0.185,0.274,3.664,5.158,2.385,1.526,1.019,0.859,0.709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13:00-14:00,Cekis,0.0,0.0,0.0,0.0,0.005,0.007,0.006,0.006,0.007,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14:00-15:00,Veris,0.841,0.705,0.524,0.0,0.689,0.557,0.676,0.632,0.682,0.812,0.684,0.69,1.21,4.129,4.913,2.256,1.46,1.058,0.863,0.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14:00-15:00,Cekis,0.0,0.0,0.002,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15:00-16:00,Veris,0.816,0.703,0.056,0.661,0.69,0.645,0.664,0.331,0.504,0.782,0.687,0.69,1.278,6.293,4.872,2.181,1.46,1.08,0.837,0.705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15:00-16:00,Cekis,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.003,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:00-17:00,Veris,0.839,0.705,0.69,0.518,0.376,0.0,0.016,0.0,0.019,0.822,0.685,0.409,1.312,6.622,3.4,2.182,1.459,1.033,0.834,0.703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
